Date,Open,High,Low,Close
19/02/2024 12:20,134605,134636,134543,134589
19/02/2024 12:25,134589,134615,134517,134527
19/02/2024 12:30,134522,134527,134393,134414
19/02/2024 12:35,134414,134553,134404,134512
19/02/2024 12:40,134507,134574,134491,134553
19/02/2024 12:45,134558,134615,134512,134543
19/02/2024 12:50,134538,134584,134491,134533
19/02/2024 12:55,134533,134569,134507,134527
19/02/2024 13:00,134533,134667,134507,134620
19/02/2024 13:05,134620,134662,134538,134656
19/02/2024 13:10,134656,134698,134610,134651
19/02/2024 13:15,134651,134656,134579,134646
19/02/2024 13:20,134646,134692,134620,134682
19/02/2024 13:25,134687,134765,134672,134749
19/02/2024 13:30,134749,134754,134625,134672
19/02/2024 13:35,134672,134729,134651,134677
19/02/2024 13:40,134677,134703,134641,134677
19/02/2024 13:45,134677,134739,134672,134692
19/02/2024 13:50,134692,134775,134667,134739
19/02/2024 13:55,134739,134775,134703,134765
19/02/2024 14:00,134759,134796,134708,134770
19/02/2024 14:05,134770,134785,134703,134703
19/02/2024 14:10,134703,134754,134698,134744
19/02/2024 14:15,134744,134775,134651,134662
19/02/2024 14:20,134662,134708,134574,134703
19/02/2024 14:25,134698,134775,134698,134770
19/02/2024 14:30,134775,134811,134749,134790
19/02/2024 14:35,134796,134826,134765,134811
19/02/2024 14:40,134811,134821,134759,134796
19/02/2024 14:45,134796,134821,134765,134796
19/02/2024 14:50,134796,134811,134775,134811
19/02/2024 14:55,134811,134811,134785,134796
19/02/2024 15:00,134790,134847,134770,134821
19/02/2024 15:05,134821,134842,134811,134816
19/02/2024 15:10,134821,134852,134790,134826
19/02/2024 15:15,134821,134837,134749,134775
19/02/2024 15:20,134770,134801,134723,134775
19/02/2024 15:25,134775,134785,134739,134785
19/02/2024 15:30,134780,134785,134708,134734
19/02/2024 15:35,134734,134754,134698,134723
19/02/2024 15:40,134723,134765,134698,134744
19/02/2024 15:45,134739,134749,134667,134687
19/02/2024 15:50,134682,134729,134677,134682
19/02/2024 15:55,134677,134718,134672,134718
19/02/2024 16:00,134713,134780,134708,134744
19/02/2024 16:05,134739,134775,134708,134723
19/02/2024 16:10,134723,134780,134687,134734
19/02/2024 16:15,134729,134739,134698,134734
19/02/2024 16:20,134734,134770,134708,134723
19/02/2024 16:25,134723,134749,134713,134744
19/02/2024 16:30,134739,134816,134729,134785
19/02/2024 16:35,134790,134826,134770,134785
19/02/2024 16:40,134785,134826,134780,134790
19/02/2024 16:45,134796,134821,134770,134801
19/02/2024 16:50,134796,134816,134775,134785
19/02/2024 16:55,134785,134811,134754,134790
19/02/2024 17:00,134790,134821,134770,134796
19/02/2024 17:05,134796,134806,134734,134785
19/02/2024 17:10,134785,134940,134780,134893
19/02/2024 17:15,134893,134935,134868,134904
19/02/2024 17:20,134909,135002,134899,134966
19/02/2024 17:25,134966,134981,134945,134976
19/02/2024 17:30,134971,134976,134940,134961
19/02/2024 17:35,134966,134991,134940,134966
19/02/2024 17:40,134966,134997,134919,134971
19/02/2024 17:45,134971,134991,134940,134981
19/02/2024 17:50,134986,134986,134945,134966
19/02/2024 17:55,134961,135028,134950,134971
19/02/2024 18:00,134976,135017,134976,134997
19/02/2024 18:05,135002,135089,134991,135064
19/02/2024 18:10,135064,135069,135017,135058
19/02/2024 18:15,135064,135120,135038,135048
19/02/2024 18:20,135048,135125,135033,135095
20/02/2024 09:00,134435,134481,134290,134357
20/02/2024 09:05,134357,134373,134213,134311
20/02/2024 09:10,134316,134373,134244,134342
20/02/2024 09:15,134347,134347,134239,134326
20/02/2024 09:20,134326,134337,134213,134259
20/02/2024 09:25,134259,134265,134172,134239
20/02/2024 09:30,134239,134296,134198,134249
20/02/2024 09:35,134249,134296,134182,134275
20/02/2024 09:40,134280,134285,134187,134234
20/02/2024 09:45,134234,134270,134198,134218
20/02/2024 09:50,134223,134234,134115,134131
20/02/2024 09:55,134131,134270,134115,134254
20/02/2024 10:00,134254,134352,134172,134296
20/02/2024 10:05,134290,134517,134249,134471
20/02/2024 10:10,134460,134718,134445,134589
20/02/2024 10:15,134595,134801,134512,134687
20/02/2024 10:20,134687,134801,134533,134790
20/02/2024 10:25,134785,134919,134780,134914
20/02/2024 10:30,134909,135043,134888,134935
20/02/2024 10:35,134935,135120,134868,135115
20/02/2024 10:40,135110,135280,135110,135192
20/02/2024 10:45,135187,135352,135182,135316
20/02/2024 10:50,135316,135327,135182,135280
20/02/2024 10:55,135275,135296,135125,135187
20/02/2024 11:00,135187,135409,135141,135378
20/02/2024 11:05,135383,135383,135229,135275
20/02/2024 11:10,135275,135373,135208,135321
20/02/2024 11:15,135321,135378,135249,135280
20/02/2024 11:20,135285,135347,135275,135296
20/02/2024 11:25,135296,135517,135290,135517
20/02/2024 11:30,135512,135734,135435,135698
20/02/2024 11:35,135703,135723,135548,135548
20/02/2024 11:40,135548,135610,135461,135466
20/02/2024 11:45,135466,135749,135461,135677
20/02/2024 11:50,135682,135811,135641,135765
20/02/2024 11:55,135760,135785,135687,135708
20/02/2024 12:00,135708,135832,135703,135775
20/02/2024 12:05,135775,135930,135749,135806
20/02/2024 12:10,135811,135832,135656,135698
20/02/2024 12:15,135698,135878,135692,135837
20/02/2024 12:20,135842,135930,135796,135868
20/02/2024 12:25,135868,135894,135816,135827
20/02/2024 12:30,135827,135857,135760,135821
20/02/2024 12:35,135816,135888,135770,135811
20/02/2024 12:40,135811,135821,135713,135718
20/02/2024 12:45,135718,135811,135713,135749
20/02/2024 12:50,135749,135873,135744,135837
20/02/2024 12:55,135837,135883,135790,135873
20/02/2024 13:00,135873,135888,135821,135842
20/02/2024 13:05,135842,135888,135765,135816
20/02/2024 13:10,135816,135821,135734,135765
20/02/2024 13:15,135760,135796,135677,135687
20/02/2024 13:20,135682,135723,135641,135677
20/02/2024 13:25,135682,135687,135631,135641
20/02/2024 13:30,135646,135682,135589,135677
20/02/2024 13:35,135677,135739,135641,135687
20/02/2024 13:40,135692,135760,135667,135677
20/02/2024 13:45,135672,135729,135656,135682
20/02/2024 13:50,135682,135744,135667,135687
20/02/2024 13:55,135687,135703,135564,135579
20/02/2024 14:00,135584,135631,135522,135543
20/02/2024 14:05,135548,135615,135533,135589
20/02/2024 14:10,135595,135631,135538,135543
20/02/2024 14:15,135548,135574,135512,135558
20/02/2024 14:20,135558,135595,135522,135569
20/02/2024 14:25,135569,135620,135569,135610
20/02/2024 14:30,135615,135837,135595,135796
20/02/2024 14:35,135796,135821,135548,135579
20/02/2024 14:40,135579,135790,135574,135754
20/02/2024 14:45,135749,135796,135672,135723
20/02/2024 14:50,135718,135811,135698,135729
20/02/2024 14:55,135729,135857,135713,135847
20/02/2024 15:00,135852,135894,135780,135837
20/02/2024 15:05,135832,135842,135692,135713
20/02/2024 15:10,135718,135729,135667,135672
20/02/2024 15:15,135672,135749,135615,135739
20/02/2024 15:20,135739,135837,135687,135801
20/02/2024 15:25,135801,135821,135708,135754
20/02/2024 15:30,135749,135765,135682,135744
20/02/2024 15:35,135739,135770,135692,135754
20/02/2024 15:40,135760,135863,135734,135765
20/02/2024 15:45,135765,135821,135718,135749
20/02/2024 15:50,135749,135811,135687,135692
20/02/2024 15:55,135698,135765,135692,135729
20/02/2024 16:00,135729,135734,135636,135656
20/02/2024 16:05,135662,135698,135636,135662
20/02/2024 16:10,135667,135687,135574,135605
20/02/2024 16:15,135610,135718,135564,135692
20/02/2024 16:20,135692,135698,135636,135651
20/02/2024 16:25,135651,135790,135636,135754
